,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
41767,227.79161,329.7403,30.511087,245.6112,313.38715,30.272438,256.8933,335.90912,33.44391,239.42424,352.7648,38.35199,190.47649,309.95273,35.50012,262.62607,333.18234,39.932884,211.80002,310.5992,33.30035,209.37883,317.3742,30.36605,161.49834,298.52722,30.709152,246.19682,331.937,33.316185,231.95328,325.64084,31.963993,166.1035,300.74893,33.906166,573284592.0645561,2019-03-03 05:43:07.064556,GRB190303240
41768,227.30444,325.946,31.98192,236.04417,320.97595,29.536161,262.05023,342.78473,32.342804,226.30522,350.914,36.880276,190.47667,314.97202,35.74498,258.1003,333.06824,42.01633,211.92278,319.41452,32.688263,212.20192,319.71103,29.265007,162.35869,303.18375,33.891,246.81761,333.78558,32.214905,228.25941,320.102,28.532427,159.73686,304.41806,32.681793,573284596.16062,2019-03-03 05:43:11.160620,GRB190303240
41769,236.37129,324.47443,33.08463,236.65443,317.41843,28.310293,259.48358,349.04095,32.58859,228.3854,347.72415,34.674397,188.27751,322.6915,35.256126,256.75662,340.0555,40.056973,213.39934,321.75183,34.03615,205.70558,318.23145,30.61095,161.75157,301.84656,37.073166,242.77141,335.12744,28.662214,228.38268,311.40866,31.838871,155.6973,300.37827,29.866463,573284600.2566841,2019-03-03 05:43:15.256684,GRB190303240
41770,233.05397,325.1973,31.612999,250.15477,316.2172,30.028378,255.79459,337.99677,33.3219,232.93106,339.2878,34.67622,185.46149,316.44748,35.01121,259.8205,345.44733,39.567196,212.41595,313.91037,34.035526,200.43321,312.22034,33.670822,157.09534,301.58878,34.624596,247.78468,334.13574,29.763557,224.84796,324.413,33.923138,164.39171,287.28766,29.37752,573284604.3527479,2019-03-03 05:43:19.352748,GRB190303240
41771,222.87737,318.32623,33.327457,253.71616,315.6131,29.416365,253.70195,331.24582,33.933094,241.38129,340.87448,34.920643,188.65448,312.05728,33.176746,266.19144,343.73364,39.322346,209.47697,312.6851,34.647564,201.9157,316.77133,33.79547,158.57437,303.4448,33.28104,255.88158,326.43582,31.357435,232.0688,333.46878,33.799995,166.96793,290.72495,32.193962,573284608.448813,2019-03-03 05:43:23.448813,GRB190303240
41772,231.81816,321.13922,32.469246,243.27608,311.29532,30.639303,249.5414,336.887,33.6887,245.17552,343.0742,34.062366,187.4294,318.177,35.869896,267.66287,335.16046,38.832554,212.66925,320.53433,35.62853,199.71361,322.16217,34.652943,160.1673,297.82062,33.281517,252.94002,320.92148,31.72468,230.2173,319.48773,33.79786,162.1988,302.11823,37.213917,573284612.544878,2019-03-03 05:43:27.544878,GRB190303240
41773,236.12605,323.73898,33.329678,237.39305,322.08,32.477623,256.0316,336.02615,34.17838,236.10841,335.10977,36.145294,185.71512,326.99084,36.849213,266.6823,339.93726,37.117474,213.40048,318.5703,34.2812,202.89532,318.36322,33.183243,166.89296,298.18045,32.791286,250.72833,325.44464,31.233866,228.00949,319.7276,32.572784,164.4005,298.93225,34.03078,573284616.6409421,2019-03-03 05:43:31.640942,GRB190303240
41774,230.25977,326.9468,34.31226,246.95862,325.02942,31.620508,267.67862,329.91235,33.076992,238.96077,349.9856,39.214073,186.93839,318.17477,33.17636,270.35458,343.85382,37.1171,222.09512,316.1244,32.077686,206.20145,312.7307,33.18325,172.51979,301.84845,33.15806,251.10347,331.57907,29.519968,225.804,321.31763,29.756168,166.2369,302.48257,30.725668,573284620.737006,2019-03-03 05:43:35.737006,GRB190303240
41775,224.74287,337.48193,30.880701,254.68806,322.7111,30.763573,259.61093,344.63687,31.119007,246.57388,355.88992,37.745903,187.41751,311.66882,34.64347,269.63885,343.1433,39.692406,230.4292,320.7888,33.915455,201.67885,324.49847,35.756058,168.96564,300.2474,33.401608,248.04036,322.6362,30.377289,233.17305,317.67377,29.514025,163.78322,298.18826,35.376194,573284624.83307,2019-03-03 05:43:39.833070,GRB190303240
41776,226.94058,332.69098,32.717674,254.31395,325.76697,31.498161,249.31424,354.1855,30.750797,246.43059,345.68906,32.59599,190.7376,321.11984,38.686188,263.50555,346.4406,42.5088,221.11234,318.3234,31.587475,203.14278,321.42844,33.42856,163.70473,297.55597,33.76869,243.38214,323.4888,31.356733,243.84805,322.23215,33.43572,163.66335,294.7654,38.314606,573284628.9291341,2019-03-03 05:43:43.929134,GRB190303240
41777,237.10098,322.9965,34.799316,243.27713,316.93433,31.987572,253.58507,347.91382,31.851265,241.65001,352.1816,33.085953,197.1128,319.1758,39.055267,259.32257,355.3589,41.403416,213.26854,312.92444,27.79102,204.11479,317.86563,31.59065,162.1155,299.0266,34.013668,237.36618,331.79825,30.252552,235.2616,325.2758,33.06644,165.13802,305.6706,34.888313,573284633.0252061,2019-03-03 05:43:48.025206,GRB190303240
41778,239.31178,329.4979,34.06486,246.96117,320.37543,32.11108,268.53976,338.12488,35.527615,241.6364,345.66748,36.269966,210.3261,307.04184,36.115368,264.59387,352.42435,41.40404,217.92337,315.74402,32.933365,207.68182,323.8906,30.001207,158.0819,307.2319,33.525105,236.6356,334.25394,29.51821,224.4805,322.57593,30.983944,168.56061,313.00616,31.704573,573284637.121279,2019-03-03 05:43:52.121279,GRB190303240
41779,239.9216,331.33197,30.633503,255.53873,330.30066,31.498058,273.57855,340.22733,35.6522,241.38145,339.0368,34.92067,205.05412,311.315,35.134647,268.64606,344.10706,40.91554,218.05286,319.05994,37.219578,206.82199,318.25363,31.715155,160.2891,308.83182,33.64847,251.11761,336.74258,32.461544,222.52292,326.00772,31.841475,165.25674,309.09134,32.806526,573284641.217344,2019-03-03 05:43:56.217344,GRB190303240
41780,237.09102,319.67465,31.734663,243.15952,326.25534,33.336384,262.04825,341.31204,34.42523,240.76465,347.36273,36.14533,197.47443,319.7788,36.972893,270.24478,351.46524,38.466393,216.4659,319.55655,35.016544,210.74431,321.93304,34.287277,160.28975,310.7908,32.302666,265.3383,329.65158,31.360388,231.46632,324.6652,32.209335,158.28403,304.93854,36.969666,573284645.3134079,2019-03-03 05:44:00.313408,GRB190303240
41781,232.45547,323.74664,34.433308,240.46457,328.70844,30.885357,254.55144,327.80542,29.27709,239.29237,344.0517,34.5522,195.77403,327.26953,36.36328,276.62375,346.33096,40.182724,214.50325,310.00128,34.526207,209.39462,323.76572,33.42967,159.54549,307.22293,32.790024,265.58566,327.57196,27.31808,227.0445,317.54388,32.697346,163.79271,306.40744,36.112743,573284649.409472,2019-03-03 05:44:04.409472,GRB190303240
41782,237.1313,334.06714,33.333187,244.38692,323.07117,29.04699,258.8448,333.57047,29.032759,231.94653,338.66888,32.96018,195.27644,327.25638,35.137516,269.86996,339.81808,36.26033,213.15576,308.77588,35.015823,201.79735,325.71658,33.673706,164.44536,301.23843,33.64767,251.72786,326.08252,30.991312,226.54854,319.7396,33.1863,160.36409,303.22278,33.786633,573284653.5055361,2019-03-03 05:44:08.505536,GRB190303240
