,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
41767,232.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24633,0.0,0.0,35.812595,0.0,0.0,34.776817,0.0,0.0,0.0,220.96715,307.08255,32.745182,0.0,306.25165,32.059937,161.05457,0.0,0.0,254.50043,0.0,0.0,0.0,0.0,31.153599,161.10797,0.0,31.443125,573284592.0645561,2019-03-03 05:43:07.064556
41768,232.51286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.256386,0.0,0.0,35.79987,0.0,0.0,34.77263,0.0,0.0,0.0,221.15451,307.4758,32.746178,0.0,306.73404,32.027855,161.07109,0.0,0.0,254.61072,0.0,0.0,0.0,0.0,31.155554,161.04907,0.0,31.446257,573284596.16062,2019-03-03 05:43:11.160620
41769,232.54951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25746,0.0,0.0,35.766632,0.0,0.0,34.756172,0.0,0.0,0.0,221.34093,307.90027,32.737007,0.0,307.27603,31.970718,161.0712,0.0,0.0,254.70207,0.0,0.0,0.0,0.0,31.151432,160.97018,0.0,31.42702,573284600.2566841,2019-03-03 05:43:15.256684
41770,232.56213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.26514,0.0,0.0,35.750465,0.0,0.0,34.75201,0.0,0.0,0.0,221.48866,308.24582,32.742,0.0,307.69513,31.93859,161.07573,0.0,0.0,254.77936,0.0,0.0,0.0,0.0,31.157488,160.91263,0.0,31.42499,573284604.3527479,2019-03-03 05:43:19.352748
41771,232.55844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2558,0.0,0.0,35.748745,0.0,0.0,34.74759,0.0,0.0,0.0,221.64174,308.58987,32.760746,0.0,308.0427,31.935116,161.07892,0.0,0.0,254.92416,0.0,0.0,0.0,0.0,31.166182,160.8526,0.0,31.430342,573284608.448813,2019-03-03 05:43:23.448813
41772,232.54208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25149,0.0,0.0,35.744873,0.0,0.0,34.74601,0.0,0.0,0.0,221.7661,308.9241,32.771114,0.0,308.40158,31.918217,161.06212,0.0,0.0,255.04019,0.0,0.0,0.0,0.0,31.160248,160.79517,0.0,31.423199,573284612.544878,2019-03-03 05:43:27.544878
41773,232.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.231735,0.0,0.0,35.7531,0.0,0.0,34.744537,0.0,0.0,0.0,221.93748,309.28006,32.80602,0.0,308.71194,31.9393,161.08629,0.0,0.0,255.2401,0.0,0.0,0.0,0.0,31.175756,160.73993,0.0,31.444597,573284616.6409421,2019-03-03 05:43:31.640942
41774,232.51994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.248108,0.0,0.0,35.77592,0.0,0.0,34.76754,0.0,0.0,0.0,222.03822,309.53265,32.84055,0.0,308.94247,31.959057,161.05524,0.0,0.0,255.33922,0.0,0.0,0.0,0.0,31.198912,160.70374,0.0,31.471918,573284620.737006,2019-03-03 05:43:35.737006
41775,232.52832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.228523,0.0,0.0,35.80277,0.0,0.0,34.776,0.0,0.0,0.0,222.22356,309.8588,32.89918,0.0,309.16095,32.0181,161.08736,0.0,0.0,255.57932,0.0,0.0,0.0,0.0,31.238047,160.65817,0.0,31.52325,573284624.83307,2019-03-03 05:43:39.833070
41776,232.51274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.21067,0.0,0.0,35.816982,0.0,0.0,34.777287,0.0,0.0,0.0,222.37105,310.13348,32.94225,0.0,309.3659,32.05495,161.11545,0.0,0.0,255.75414,0.0,0.0,0.0,0.0,31.262209,160.61058,0.0,31.55852,573284628.9291341,2019-03-03 05:43:43.929134
41777,232.5134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.196503,0.0,0.0,35.84421,0.0,0.0,34.78689,0.0,0.0,0.0,222.52657,310.40442,32.99761,0.0,309.53442,32.110554,161.12071,0.0,0.0,255.95554,0.0,0.0,0.0,0.0,31.296286,160.561,0.0,31.606716,573284633.0252061,2019-03-03 05:43:48.025206
41778,232.49527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.185932,0.0,0.0,35.869247,0.0,0.0,34.79745,0.0,0.0,0.0,222.65266,310.63828,33.0452,0.0,309.6803,32.157417,161.12074,0.0,0.0,256.11453,0.0,0.0,0.0,0.0,31.32411,160.5079,0.0,31.645956,573284637.121279,2019-03-03 05:43:52.121279
41779,232.45062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.16006,0.0,0.0,35.894894,0.0,0.0,34.79986,0.0,0.0,0.0,222.7807,310.86697,33.098804,0.0,309.79312,32.217007,161.15381,0.0,0.0,256.2926,0.0,0.0,0.0,0.0,31.354322,160.44476,0.0,31.688948,573284641.217344,2019-03-03 05:43:56.217344
41780,232.40619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.141197,0.0,0.0,35.9215,0.0,0.0,34.806274,0.0,0.0,0.0,222.8939,311.07672,33.153034,0.0,309.8948,32.276257,161.18619,0.0,0.0,256.44247,0.0,0.0,0.0,0.0,31.385962,160.38985,0.0,31.733858,573284645.3134079,2019-03-03 05:44:00.313408
41781,232.38483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.12214,0.0,0.0,35.94152,0.0,0.0,34.81032,0.0,0.0,0.0,223.0265,311.32977,33.200233,0.0,310.06082,32.32207,161.2108,0.0,0.0,256.60873,0.0,0.0,0.0,0.0,31.410112,160.33778,0.0,31.769955,573284649.409472,2019-03-03 05:44:04.409472
41782,232.34528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.10344,0.0,0.0,35.959106,0.0,0.0,34.812634,0.0,0.0,0.0,223.1443,311.55606,33.2467,0.0,310.2061,32.36711,161.25291,0.0,0.0,256.7478,0.0,0.0,0.0,0.0,31.435896,160.28456,0.0,31.807579,573284653.5055361,2019-03-03 05:44:08.505536
41783,232.31352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.07048,0.0,0.0,35.97096,0.0,0.0,34.809464,0.0,0.0,0.0,223.28334,311.81848,33.288754,0.0,310.38434,32.40565,161.28423,0.0,0.0,256.91864,0.0,0.0,0.0,0.0,31.4518,160.22324,0.0,31.837616,573284657.6015999,2019-03-03 05:44:12.601600
41784,232.27803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.055267,0.0,0.0,35.97959,0.0,0.0,34.812435,0.0,0.0,0.0,223.39317,312.04828,33.327496,0.0,310.56558,32.434223,161.32048,0.0,0.0,257.0201,0.0,0.0,0.0,0.0,31.470291,160.17212,0.0,31.868555,573284661.697665,2019-03-03 05:44:16.697665
41785,232.23462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02115,0.0,0.0,35.98941,0.0,0.0,34.80865,0.0,0.0,0.0,223.52116,312.29648,33.36977,0.0,310.73376,32.47164,161.35509,0.0,0.0,257.17044,0.0,0.0,0.0,0.0,31.486193,160.1043,0.0,31.899307,573284665.79373,2019-03-03 05:44:20.793730
41786,232.22531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.99986,0.0,0.0,35.985603,0.0,0.0,34.800476,0.0,0.0,0.0,223.66975,312.60306,33.397457,0.0,311.02042,32.480915,161.39894,0.0,0.0,257.31622,0.0,0.0,0.0,0.0,31.49505,160.04707,0.0,31.915884,573284669.8897941,2019-03-03 05:44:24.889794
41787,232.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96026,0.0,0.0,36.00008,0.0,0.0,34.79755,0.0,0.0,0.0,223.78264,312.81528,33.444927,0.0,311.12997,32.52975,161.43784,0.0,0.0,257.45944,0.0,0.0,0.0,0.0,31.514223,159.97737,0.0,31.952692,573284673.9858661,2019-03-03 05:44:28.985866
41788,232.15742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.94646,0.0,0.0,36.000496,0.0,0.0,34.795387,0.0,0.0,0.0,223.92404,313.1144,33.476154,0.0,311.40936,32.54274,161.4782,0.0,0.0,257.59122,0.0,0.0,0.0,0.0,31.526695,159.92734,0.0,31.97367,573284678.081938,2019-03-03 05:44:33.081938
41789,232.16074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92879,0.0,0.0,35.989773,0.0,0.0,34.783634,0.0,0.0,0.0,224.08025,313.4432,33.496624,0.0,311.74332,32.538754,161.52278,0.0,0.0,257.73404,0.0,0.0,0.0,0.0,31.531301,159.87103,0.0,31.9825,573284682.1780021,2019-03-03 05:44:37.178002
41790,232.14688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.909454,0.0,0.0,35.9821,0.0,0.0,34.77453,0.0,0.0,0.0,224.21556,313.73325,33.51791,0.0,312.0226,32.54014,161.57286,0.0,0.0,257.8551,0.0,0.0,0.0,0.0,31.536331,159.81688,0.0,31.99331,573284686.2740669,2019-03-03 05:44:41.274067
41791,232.10043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.883583,0.0,0.0,35.992043,0.0,0.0,34.773987,0.0,0.0,0.0,224.32993,313.9692,33.558704,0.0,312.19095,32.574448,161.61781,0.0,0.0,257.97488,0.0,0.0,0.0,0.0,31.554762,159.76057,0.0,32.024208,573284690.370132,2019-03-03 05:44:45.370132
41792,232.09726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.853737,0.0,0.0,36.00371,0.0,0.0,34.77254,0.0,0.0,0.0,224.50972,314.3369,33.601063,0.0,312.4916,32.60705,161.66702,0.0,0.0,258.18796,0.0,0.0,0.0,0.0,31.573093,159.71234,0.0,32.051273,573284694.4661961,2019-03-03 05:44:49.466196
