,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
69890,200.34856,336.64926,45.55603,183.41263,318.707,41.26172,141.93756,328.16943,41.72475,260.95853,371.6422,44.126385,278.75375,384.54288,39.839478,207.23059,331.1038,46.146446,223.78423,326.8621,34.400093,248.2636,358.67105,35.903866,301.97006,345.2312,33.82457,231.7397,334.32706,35.256752,198.05211,320.0904,35.252785,213.44228,332.59277,34.16546,573420917.780205,2019-03-04 19:35:12.780205,GRB190304818
69891,206.3408,338.71732,38.206726,188.42862,324.69962,40.771103,142.04843,316.8867,38.295574,261.82123,364.0492,38.733852,277.50845,387.08997,39.22381,197.07959,336.87143,48.35182,228.05275,317.29077,33.173534,241.3854,361.46545,35.65642,286.5084,347.29034,36.640724,234.558,345.10385,36.23652,202.20694,323.2618,33.660355,205.60117,325.60663,35.511814,573420921.876271,2019-03-04 19:35:16.876271,GRB190304818
69892,203.63144,343.8347,35.999783,187.69449,330.21005,38.812233,138.25745,322.15207,38.29609,262.46924,387.63556,42.78457,280.56567,369.06213,41.306522,192.79785,345.3224,47.495598,236.50931,317.79407,33.17496,246.88457,356.1754,36.02187,301.3493,356.61914,35.661915,240.44414,338.62958,36.360443,207.22879,326.93924,35.374554,205.35774,332.09912,36.246807,573420925.972345,2019-03-04 19:35:20.972345,GRB190304818
69893,200.82338,340.665,38.08297,183.28552,324.94308,40.036316,133.49147,330.11914,43.06966,267.8474,392.14822,41.678772,273.95456,371.03378,41.55284,196.95508,345.43643,44.923874,231.62323,320.25708,33.91101,255.09462,351.76593,34.429195,308.22397,363.98618,34.927967,230.03072,330.78394,35.379925,201.35269,325.46918,37.088062,208.43488,327.96042,36.004616,573420930.068419,2019-03-04 19:35:25.068419,GRB190304818
69894,200.59093,343.50278,39.554867,183.51958,323.69965,41.380665,139.2399,330.8477,45.393673,266.3668,380.3664,42.780495,276.9126,383.06857,36.652,201.98045,339.6944,44.068462,235.05858,323.8177,37.46246,263.79272,349.8041,32.101112,298.29663,356.38727,33.94748,222.44072,330.66174,36.604168,197.06996,327.79712,38.31236,207.2152,326.25372,35.148205,573420934.164485,2019-03-04 19:35:29.164485,GRB190304818
69895,201.45465,343.024,41.02572,191.97159,329.95117,44.564835,141.93134,328.64447,43.191174,262.94336,366.89487,44.498108,282.1885,383.32037,35.794548,204.30807,332.84222,43.946434,243.14024,325.5337,38.931824,268.20554,351.03192,33.939213,304.3122,355.78668,31.987709,227.21146,329.7994,36.11389,199.28017,328.05334,40.14981,205.23546,326.95624,33.92018,573420938.260551,2019-03-04 19:35:33.260551,GRB190304818
69896,201.44296,338.71808,39.79876,193.56335,326.03366,44.075146,145.60416,325.59045,42.45768,258.4091,378.54233,43.640244,285.744,380.86942,39.96248,203.68918,335.40167,48.10688,235.54865,330.79648,37.462517,265.7722,344.68286,36.514572,309.07962,359.69415,32.721752,227.08888,335.67532,33.298206,196.95998,327.0833,38.192364,209.77513,323.66354,34.77883,573420942.356618,2019-03-04 19:35:37.356618,GRB190304818
69897,204.00787,334.17618,41.144447,186.20924,320.38763,42.236813,145.8519,330.00214,44.17159,247.00487,389.81415,43.394405,293.95013,381.10547,38.735714,203.81354,336.01694,48.10734,226.11777,333.8512,36.604877,265.65903,344.44995,38.72152,305.03757,354.18182,36.888832,223.77953,337.38312,31.338926,199.2865,327.69653,36.111496,205.73982,328.69385,34.779827,573420946.452684,2019-03-04 19:35:41.452684,GRB190304818
69898,201.1896,334.66293,41.51143,189.52116,326.6424,41.381233,137.89017,329.98206,41.96657,257.06485,383.08426,43.640957,292.95508,378.26755,37.26291,204.18462,336.6353,46.394466,226.71596,326.24084,35.13363,265.40033,353.4995,36.88158,299.16873,360.69382,34.194214,220.48114,339.23,32.31928,201.84937,331.1113,36.599735,204.99944,331.1341,33.92165,573420950.5487499,2019-03-04 19:35:45.548750,GRB190304818
69899,201.43729,342.0148,39.675186,191.48103,327.62357,40.52444,145.60205,334.15057,41.23352,272.7647,382.23837,42.048676,289.87918,368.93713,39.345123,205.04356,347.2887,47.49666,229.53299,322.69278,33.909676,261.3489,359.73764,33.8173,298.7872,357.123,33.70241,214.97104,335.31076,34.522686,197.80324,331.7121,36.353687,217.98712,329.0626,33.187927,573420954.6448171,2019-03-04 19:35:49.644817,GRB190304818
