,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
90714,225.30908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.20839,0.0,0.0,40.67013,0.0,0.0,39.878006,0.0,0.0,0.0,227.01602,346.12445,39.77611,0.0,345.16263,38.72649,169.09595,0.0,0.0,265.50302,0.0,0.0,0.0,0.0,37.888268,170.621,0.0,39.360077,573604539.1522121,2019-03-06 22:35:34.152212
90715,225.33829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21778,0.0,0.0,40.702812,0.0,0.0,39.91208,0.0,0.0,0.0,227.2176,346.72354,39.85497,0.0,345.67532,38.793056,169.08296,0.0,0.0,265.81088,0.0,0.0,0.0,0.0,37.946213,170.60641,0.0,39.440166,573604543.248276,2019-03-06 22:35:38.248276
90716,225.39948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.229485,0.0,0.0,40.737865,0.0,0.0,39.948704,0.0,0.0,0.0,227.45012,347.31833,39.929325,0.0,346.19012,38.853138,169.09071,0.0,0.0,266.1118,0.0,0.0,0.0,0.0,37.996983,170.65659,0.0,39.513542,573604547.344339,2019-03-06 22:35:42.344339
90717,225.3766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.217278,0.0,0.0,40.785988,0.0,0.0,39.97695,0.0,0.0,0.0,227.69849,347.88406,40.024307,0.0,346.6332,38.922947,169.11946,0.0,0.0,266.3901,0.0,0.0,0.0,0.0,38.061104,170.64243,0.0,39.583336,573604551.440402,2019-03-06 22:35:46.440402
90718,225.37997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21587,0.0,0.0,40.82467,0.0,0.0,40.00716,0.0,0.0,0.0,227.91945,348.44388,40.10703,0.0,347.0934,38.987217,169.12978,0.0,0.0,266.6646,0.0,0.0,0.0,0.0,38.118423,170.64153,0.0,39.654587,573604555.5364661,2019-03-06 22:35:50.536466
90719,225.37782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.207504,0.0,0.0,40.872894,0.0,0.0,40.03774,0.0,0.0,0.0,228.17674,349.02484,40.200893,0.0,347.55673,39.056652,169.16412,0.0,0.0,266.95425,0.0,0.0,0.0,0.0,38.181526,170.6466,0.0,39.725082,573604559.632531,2019-03-06 22:35:54.632531
90720,225.36221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.194054,0.0,0.0,40.930283,0.0,0.0,40.067764,0.0,0.0,0.0,228.46156,349.58157,40.295536,0.0,347.9871,39.127068,169.22508,0.0,0.0,267.22806,0.0,0.0,0.0,0.0,38.2465,170.6645,0.0,39.787346,573604563.728595,2019-03-06 22:35:58.728595
90721,225.27565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.16887,0.0,0.0,40.983818,0.0,0.0,40.08425,0.0,0.0,0.0,228.69633,350.07028,40.383507,0.0,348.3414,39.19891,169.25752,0.0,0.0,267.45197,0.0,0.0,0.0,0.0,38.31463,170.60242,0.0,39.843002,573604567.8246579,2019-03-06 22:36:02.824658
90722,225.21686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.145134,0.0,0.0,41.04249,0.0,0.0,40.103622,0.0,0.0,0.0,228.96532,350.59634,40.47498,0.0,348.73032,39.273033,169.30957,0.0,0.0,267.6998,0.0,0.0,0.0,0.0,38.384274,170.5672,0.0,39.898754,573604571.920722,2019-03-06 22:36:06.920722
90723,225.12589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.116337,0.0,0.0,41.108673,0.0,0.0,40.124855,0.0,0.0,0.0,229.26402,351.11313,40.58043,0.0,349.09033,39.357502,169.35536,0.0,0.0,267.94736,0.0,0.0,0.0,0.0,38.458054,170.52377,0.0,39.958,573604576.016793,2019-03-06 22:36:11.016793
90724,225.07245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.109314,0.0,0.0,41.15047,0.0,0.0,40.14628,0.0,0.0,0.0,229.47754,351.58664,40.67,0.0,349.46384,39.425137,169.35414,0.0,0.0,268.1638,0.0,0.0,0.0,0.0,38.51973,170.49307,0.0,40.021202,573604580.112864,2019-03-06 22:36:15.112864
